pokedex_number,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,generation,is_legendary
1,Bulbasaur,grass,poison,318,45,49,49,65,65,45,1,0
2,Ivysaur,grass,poison,405,60,62,63,80,80,60,1,0
3,Venusaur,grass,poison,525,80,82,83,100,100,80,1,0
4,Charmander,fire,,309,39,52,43,60,50,65,1,0
5,Charmeleon,fire,,405,58,64,58,80,65,80,1,0
6,Charizard,fire,flying,534,78,84,78,109,85,100,1,0
7,Squirtle,water,,314,44,48,65,50,64,43,1,0
8,Wartortle,water,,405,59,63,80,65,80,58,1,0
9,Blastoise,water,,530,79,83,100,85,105,78,1,0
10,Caterpie,bug,,195,45,30,35,20,20,45,1,0
11,Metapod,bug,,205,50,20,55,25,25,30,1,0
12,Butterfree,bug,flying,395,60,45,50,90,80,70,1,0
13,Weedle,bug,poison,195,40,35,30,20,20,50,1,0
14,Kakuna,bug,poison,205,45,25,50,25,25,35,1,0
15,Beedrill,bug,poison,395,65,90,40,45,80,75,1,0
16,Pidgey,normal,flying,251,40,45,40,35,35,56,1,0
17,Pidgeotto,normal,flying,349,63,60,55,50,50,71,1,0
18,Pidgeot,normal,flying,479,83,80,75,70,70,101,1,0
19,Rattata,normal,dark,253,30,56,35,25,35,72,1,0
20,Raticate,normal,dark,413,55,81,60,50,70,97,1,0
21,Spearow,normal,flying,262,40,60,30,31,31,70,1,0
22,Fearow,normal,flying,442,65,90,65,61,61,100,1,0
23,Ekans,poison,,288,35,60,44,40,54,55,1,0
24,Arbok,poison,,448,60,95,69,65,79,80,1,0
25,Pikachu,electric,,320,35,55,40,50,50,90,1,0
26,Raichu,electric,electric,485,60,90,55,90,80,110,1,0
27,Sandshrew,ground,ice,300,50,75,85,20,30,40,1,0
28,Sandslash,ground,ice,450,75,100,110,45,55,65,1,0
29,Nidoran♀,poison,,275,55,47,52,40,40,41,1,0
30,Nidorina,poison,,365,70,62,67,55,55,56,1,0
31,Nidoqueen,poison,ground,505,90,92,87,75,85,76,1,0
32,Nidoran♂,poison,,273,46,57,40,40,40,50,1,0
33,Nidorino,poison,,365,61,72,57,55,55,65,1,0
34,Nidoking,poison,ground,505,81,102,77,85,75,85,1,0
35,Clefairy,fairy,,323,70,45,48,60,65,35,1,0
36,Clefable,fairy,,483,95,70,73,95,90,60,1,0
37,Vulpix,fire,ice,299,38,41,40,50,65,65,1,0
38,Ninetales,fire,ice,505,73,76,75,81,100,100,1,0
39,Jigglypuff,normal,fairy,270,115,45,20,45,25,20,1,0
40,Wigglytuff,normal,fairy,435,140,70,45,85,50,45,1,0
41,Zubat,poison,flying,245,40,45,35,30,40,55,1,0
42,Golbat,poison,flying,455,75,80,70,65,75,90,1,0
43,Oddish,grass,poison,320,45,50,55,75,65,30,1,0
44,Gloom,grass,poison,395,60,65,70,85,75,40,1,0
45,Vileplume,grass,poison,490,75,80,85,110,90,50,1,0
46,Paras,bug,grass,285,35,70,55,45,55,25,1,0
47,Parasect,bug,grass,405,60,95,80,60,80,30,1,0
48,Venonat,bug,poison,305,60,55,50,40,55,45,1,0
49,Venomoth,bug,poison,450,70,65,60,90,75,90,1,0
50,Diglett,ground,ground,265,10,55,25,35,45,95,1,0
51,Dugtrio,ground,ground,425,35,100,50,50,70,120,1,0
52,Meowth,normal,dark,290,40,45,35,40,40,90,1,0
53,Persian,normal,dark,440,65,70,60,65,65,115,1,0
54,Psyduck,water,,320,50,52,48,65,50,55,1,0
55,Golduck,water,,500,80,82,78,95,80,85,1,0
56,Mankey,fighting,,305,40,80,35,35,45,70,1,0
57,Primeape,fighting,,455,65,105,60,60,70,95,1,0
58,Growlithe,fire,,350,55,70,45,70,50,60,1,0
59,Arcanine,fire,,555,90,110,80,100,80,95,1,0
60,Poliwag,water,,300,40,50,40,40,40,90,1,0
61,Poliwhirl,water,,385,65,65,65,50,50,90,1,0
62,Poliwrath,water,fighting,510,90,95,95,70,90,70,1,0
63,Abra,psychic,,310,25,20,15,105,55,90,1,0
64,Kadabra,psychic,,400,40,35,30,120,70,105,1,0
65,Alakazam,psychic,,500,55,50,45,135,95,120,1,0
66,Machop,fighting,,305,70,80,50,35,35,35,1,0
67,Machoke,fighting,,405,80,100,70,50,60,45,1,0
68,Machamp,fighting,,505,90,130,80,65,85,55,1,0
69,Bellsprout,grass,poison,300,50,75,35,70,30,40,1,0
70,Weepinbell,grass,poison,390,65,90,50,85,45,55,1,0
71,Victreebel,grass,poison,490,80,105,65,100,70,70,1,0
72,Tentacool,water,poison,335,40,40,35,50,100,70,1,0
73,Tentacruel,water,poison,515,80,70,65,80,120,100,1,0
74,Geodude,rock,ground,300,40,80,100,30,30,20,1,0
75,Graveler,rock,ground,390,55,95,115,45,45,35,1,0
76,Golem,rock,ground,495,80,120,130,55,65,45,1,0
77,Ponyta,fire,psychic,410,50,85,55,65,65,90,1,0
78,Rapidash,fire,psychic,500,65,100,70,80,80,105,1,0
79,Slowpoke,water,psychic,315,90,65,65,40,40,15,1,0
80,Slowbro,water,psychic,490,95,75,110,100,80,30,1,0
81,Magnemite,electric,steel,325,25,35,70,95,55,45,1,0
82,Magneton,electric,steel,465,50,60,95,120,70,70,1,0
83,Farfetch'd,normal,flying,377,52,90,55,58,62,60,1,0
84,Doduo,normal,flying,310,35,85,45,35,35,75,1,0
85,Dodrio,normal,flying,470,60,110,70,60,60,110,1,0
86,Seel,water,,325,65,45,55,45,70,45,1,0
87,Dewgong,water,ice,475,90,70,80,70,95,70,1,0
88,Grimer,poison,poison,325,80,80,50,40,50,25,1,0
89,Muk,poison,poison,500,105,105,75,65,100,50,1,0
90,Shellder,water,,305,30,65,100,45,25,40,1,0
91,Cloyster,water,ice,525,50,95,180,85,45,70,1,0
92,Gastly,ghost,poison,310,30,35,30,100,35,80,1,0
93,Haunter,ghost,poison,405,45,50,45,115,55,95,1,0
94,Gengar,ghost,poison,500,60,65,60,130,75,110,1,0
95,Onix,rock,ground,385,35,45,160,30,45,70,1,0
96,Drowzee,psychic,,328,60,48,45,43,90,42,1,0
97,Hypno,psychic,,483,85,73,70,73,115,67,1,0
98,Krabby,water,,325,30,105,90,25,25,50,1,0
99,Kingler,water,,475,55,130,115,50,50,75,1,0
100,Voltorb,electric,,330,40,30,50,55,55,100,1,0
101,Electrode,electric,,490,60,50,70,80,80,150,1,0
102,Exeggcute,grass,psychic,325,60,40,80,60,45,40,1,0
103,Exeggutor,grass,psychic,530,95,95,85,125,75,55,1,0
104,Cubone,ground,,320,50,50,95,40,50,35,1,0
105,Marowak,ground,fire,425,60,80,110,50,80,45,1,0
106,Hitmonlee,fighting,,455,50,120,53,35,110,87,1,0
107,Hitmonchan,fighting,,455,50,105,79,35,110,76,1,0
108,Lickitung,normal,,385,90,55,75,60,75,30,1,0
109,Koffing,poison,,340,40,65,95,60,45,35,1,0
110,Weezing,poison,poison,490,65,90,120,85,70,60,1,0
